ID	bc01	bc02	bc05	bc06	iNGN_D12_rep1	iNGN_D12_rep2	iNGN_D12_rep3	PAS_ID	UTR_id	Feature	gene_name
chr11:95823679:+	0	1	0	0	0	2	0	chr11:95823679:+	.	intron	CEP57
chr11:95831078:+	1	4	1	2	0	1	0	chr11:95831078:+	.	exon	CEP57
chr11:95831613:+	2	0	0	0	2	0	1	chr11:95831613:+	CEP57:chr11:95831257:95832693:u1	3UTR	CEP57
chr11:95831730:+	141	210	106	106	102	118	97	chr11:95831730:+	CEP57:chr11:95831257:95832693:u1	3UTR	CEP57
chr11:95831919:+	12	6	3	4	4	2	2	chr11:95831919:+	CEP57:chr11:95831257:95832693:u1	3UTR	CEP57
chr11:95831960:+	14	19	6	10	10	13	5	chr11:95831960:+	CEP57:chr11:95831257:95832693:u1	3UTR	CEP57
chr11:95832173:+	2	1	0	1	0	0	0	chr11:95832173:+	CEP57:chr11:95831257:95832693:u1	3UTR	CEP57
chr11:95832231:+	236	214	74	107	210	220	75	chr11:95832231:+	CEP57:chr11:95831257:95832693:u1	3UTR	CEP57
chr11:95832687:+	186	172	120	186	246	239	58	chr11:95832687:+	CEP57:chr11:95831257:95832693:u1	3UTR	CEP57
chr11:95832833:-	0	0	0	1	0	0	0	chr11:95832833:-	.	intergenic	intergenic:chr11:95832833
chr11:95832880:-	69	56	57	158	375	347	169	chr11:95832880:-	MTMR2:chr11:95832880:95835289:u1	3UTR	MTMR2
chr11:95833735:-	0	1	0	0	1	0	1	chr11:95833735:-	MTMR2:chr11:95832880:95835289:u1	3UTR	MTMR2
chr11:95833927:-	2	0	0	3	4	1	3	chr11:95833927:-	MTMR2:chr11:95832880:95835289:u1	3UTR	MTMR2
chr11:95834092:-	725	840	393	616	717	761	607	chr11:95834092:-	MTMR2:chr11:95832880:95835289:u1	3UTR	MTMR2
chr11:95834131:+	1	0	1	0	0	0	0	chr11:95834131:+	.	intergenic	intergenic:chr11:95834139
chr11:95834245:-	14	13	9	9	9	9	8	chr11:95834245:-	MTMR2:chr11:95832880:95835289:u1	3UTR	MTMR2
chr11:95834385:-	1	1	0	0	0	0	0	chr11:95834385:-	MTMR2:chr11:95832880:95835289:u1	3UTR	MTMR2
chr11:95834732:-	17	23	9	13	4	7	7	chr11:95834732:-	MTMR2:chr11:95832880:95835289:u1	3UTR	MTMR2
chr11:95834950:-	1	5	0	1	1	5	0	chr11:95834950:-	MTMR2:chr11:95832880:95835289:u1	3UTR	MTMR2
chr11:95834987:-	85	102	40	34	44	47	47	chr11:95834987:-	MTMR2:chr11:95832880:95835289:u1	3UTR	MTMR2
chr11:95835034:-	65	52	25	36	30	25	17	chr11:95835034:-	MTMR2:chr11:95832880:95835289:u1	3UTR	MTMR2
chr11:95835186:+	1	0	0	0	1	0	0	chr11:95835186:+	.	intergenic	intergenic:chr11:95835191
chr11:95835269:-	2	1	0	1	0	0	1	chr11:95835269:-	MTMR2:chr11:95832880:95835289:u1	3UTR	MTMR2
chr11:95849451:+	0	1	5	3	0	0	1	chr11:95849451:+	.	intergenic	intergenic:chr11:95849454
chr11:95850718:-	0	0	2	0	0	0	0	chr11:95850718:-	.	exon	MTMR2
chr11:95857703:-	1	4	0	5	0	0	3	chr11:95857703:-	.	intron	MTMR2
chr11:95863720:-	0	2	0	0	0	0	0	chr11:95863720:-	.	intron	MTMR2
chr11:95864359:-	0	0	0	2	0	0	0	chr11:95864359:-	.	intron	MTMR2
chr11:95864934:-	0	0	0	1	0	2	0	chr11:95864934:-	.	intron	MTMR2
chr11:95881815:-	1	0	0	1	0	0	0	chr11:95881815:-	.	intron	MTMR2
chr11:95884921:-	0	0	0	0	0	0	2	chr11:95884921:-	.	intron	MTMR2
chr11:95965082:-	2	0	0	0	0	0	0	chr11:95965082:-	.	intergenic	intergenic:chr11:95965084
chr11:95976598:-	9	5	2	5	13	14	4	chr11:95976598:-	MAML2:chr11:95976600:95978947:u1	3UTR	MAML2
chr11:95976677:-	0	1	0	0	1	0	0	chr11:95976677:-	MAML2:chr11:95976600:95978947:u1	3UTR	MAML2
chr11:95978610:-	6	2	3	3	0	1	4	chr11:95978610:-	MAML2:chr11:95976600:95978947:u1	3UTR	MAML2
chr11:95990196:-	0	1	0	0	0	1	0	chr11:95990196:-	.	intron	MAML2
chr11:96027731:-	0	1	0	1	0	0	0	chr11:96027731:-	.	intron	MAML2
chr11:96058311:-	2	2	3	2	1	2	1	chr11:96058311:-	.	intron	MAML2
chr11:96069288:-	0	2	1	1	0	1	1	chr11:96069288:-	.	intron	MAML2
chr11:96073954:-	1	3	0	0	0	1	0	chr11:96073954:-	.	intron	MAML2
chr11:96160603:-	0	2	0	0	0	0	0	chr11:96160603:-	.	intron	MAML2
chr11:96218656:-	3	1	0	2	0	2	0	chr11:96218656:-	.	intron	MAML2
chr11:96329082:-	1	0	0	1	1	0	2	chr11:96329082:-	.	intron	MAML2
chr11:96352018:-	0	0	0	0	0	3	0	chr11:96352018:-	.	intergenic	intergenic:chr11:96352018
chr11:96352773:-	211	297	679	844	1004	946	711	chr11:96352773:-	CCDC82:chr11:96352765:96353645:u2	3UTR	CCDC82
chr11:96353228:-	21	20	64	51	30	33	26	chr11:96353228:-	CCDC82:chr11:96352765:96353645:u2	3UTR	CCDC82
chr11:96353312:-	3	8	20	24	28	20	5	chr11:96353312:-	CCDC82:chr11:96352765:96353645:u2	3UTR	CCDC82
chr11:96353453:-	60	75	160	136	101	88	71	chr11:96353453:-	CCDC82:chr11:96352765:96353645:u2	3UTR	CCDC82
chr11:96353497:-	0	0	0	0	0	1	0	chr11:96353497:-	CCDC82:chr11:96352765:96353645:u2	3UTR	CCDC82
chr11:96356308:-	0	0	0	1	1	0	0	chr11:96356308:-	.	intron	CCDC82
chr11:96356660:-	1	0	1	2	3	1	1	chr11:96356660:-	.	intron	CCDC82
chr11:96358078:-	0	0	0	2	1	1	2	chr11:96358078:-	.	intron	CCDC82
chr11:96359014:-	1	0	4	0	0	0	1	chr11:96359014:-	.	exon	CCDC82
chr11:96362958:-	1	0	5	11	3	1	1	chr11:96362958:-	.	intron	CCDC82
chr11:96363973:-	0	3	4	4	1	2	0	chr11:96363973:-	.	intron	CCDC82
chr11:96382555:-	0	1	0	0	0	1	0	chr11:96382555:-	CCDC82:chr11:96380535:96383224:u1	3UTR	CCDC82
chr11:96382599:-	7	11	3	9	0	3	0	chr11:96382599:-	CCDC82:chr11:96380535:96383224:u1	3UTR	CCDC82
chr11:96382882:-	1	1	1	0	0	0	0	chr11:96382882:-	CCDC82:chr11:96380535:96383224:u1	3UTR	CCDC82
chr11:96382978:-	4	3	1	0	1	1	0	chr11:96382978:-	CCDC82:chr11:96380535:96383224:u1	3UTR	CCDC82
chr11:96383259:-	3	2	1	1	0	0	3	chr11:96383259:-	.	exon	CCDC82
chr11:96383321:-	1	4	10	8	3	4	4	chr11:96383321:-	.	exon	CCDC82
chr11:96384198:-	9	2	27	15	1	3	1	chr11:96384198:-	.	exon	CCDC82
chr11:96384249:-	3	2	12	5	1	3	1	chr11:96384249:-	.	exon	CCDC82
chr11:96384402:-	2	0	0	0	0	0	1	chr11:96384402:-	.	exon	CCDC82
chr11:96393254:+	12	9	3	10	16	21	4	chr11:96393254:+	JRKL:chr11:96392225:96393561:u1	3UTR	JRKL
chr11:96393507:+	1	1	0	0	1	3	2	chr11:96393507:+	JRKL:chr11:96392225:96393561:u1	3UTR	JRKL
chr11:96393561:+	4	12	1	2	14	14	0	chr11:96393561:+	JRKL:chr11:96392225:96393561:u1	3UTR	JRKL
chr11:96394029:+	0	0	0	1	1	0	0	chr11:96394029:+	.	intergenic	intergenic:chr11:96394035
chr11:96596617:+	4	3	0	0	0	0	0	chr11:96596617:+	.	intergenic	intergenic:chr11:96596617
chr11:98685869:+	0	1	0	0	0	1	0	chr11:98685869:+	.	intergenic	intergenic:chr11:98685869
chr11:98960078:-	0	0	0	0	0	2	0	chr11:98960078:-	.	intergenic	intergenic:chr11:98960080
chr11:99052890:+	0	0	0	0	3	2	0	chr11:99052890:+	.	intron	CNTN5
chr11:99076348:+	0	0	0	0	0	3	1	chr11:99076348:+	.	intron	CNTN5
chr11:99131513:+	0	0	0	0	0	1	1	chr11:99131513:+	.	intron	CNTN5
chr11:99168603:+	0	0	0	0	1	1	2	chr11:99168603:+	.	intron	CNTN5
chr11:99169480:+	0	0	0	0	3	2	1	chr11:99169480:+	.	intron	CNTN5
chr11:99178159:+	0	0	0	0	1	0	1	chr11:99178159:+	.	intron	CNTN5
chr11:99179478:+	0	0	0	0	0	2	0	chr11:99179478:+	.	intron	CNTN5
chr11:99408417:+	0	0	1	0	0	0	0	chr11:99408417:+	.	intron	CNTN5
chr11:99408449:+	0	0	0	0	1	6	0	chr11:99408449:+	.	intron	CNTN5
chr11:99420829:+	0	0	0	0	2	0	0	chr11:99420829:+	.	intron	CNTN5
chr11:99452955:+	0	0	0	0	1	0	0	chr11:99452955:+	.	intron	CNTN5
chr11:99509705:+	0	0	0	0	0	2	1	chr11:99509705:+	.	intron	CNTN5
chr11:99558585:+	0	0	0	0	2	0	0	chr11:99558585:+	.	intron	CNTN5
chr11:99577593:+	0	0	0	0	0	1	0	chr11:99577593:+	.	intron	CNTN5
chr11:99695729:+	0	0	1	0	1	0	0	chr11:99695729:+	.	intron	CNTN5
chr11:99846754:+	0	0	0	0	2	0	0	chr11:99846754:+	.	intron	CNTN5
chr11:100003129:+	0	0	0	0	2	0	0	chr11:100003129:+	.	intron	CNTN5
chr11:100003977:+	0	0	0	0	2	0	1	chr11:100003977:+	.	intron	CNTN5
chr11:100075138:+	0	0	0	0	0	1	0	chr11:100075138:+	.	intron	CNTN5
chr11:100110211:+	0	0	0	1	1	0	1	chr11:100110211:+	.	intron	CNTN5
chr11:100203115:+	0	0	0	0	0	0	2	chr11:100203115:+	.	intron	CNTN5
chr11:100203267:+	0	0	0	1	2	4	7	chr11:100203267:+	.	intron	CNTN5
chr11:100226867:+	0	0	1	1	0	2	0	chr11:100226867:+	.	intron	CNTN5
chr11:100309698:+	0	0	0	0	3	0	3	chr11:100309698:+	CNTN5:chr11:100308475:100309701:u1	3UTR	CNTN5
chr11:100356616:+	0	0	2	0	9	5	0	chr11:100356616:+	CNTN5:chr11:100356221:100358885:u2	3UTR	CNTN5
chr11:100358885:+	0	0	0	0	19	12	1	chr11:100358885:+	CNTN5:chr11:100356221:100358885:u2	3UTR	CNTN5
chr11:100684167:-	0	0	1	1	1	0	0	chr11:100684167:-	.	exon	LOC100128386
chr11:100704227:+	1	2	0	0	0	0	0	chr11:100704227:+	.	intron	ARHGAP42
chr11:100804333:+	0	0	1	1	0	0	0	chr11:100804333:+	.	intron	ARHGAP42
chr11:100862003:+	1	0	0	0	0	0	0	chr11:100862003:+	.	intron	ARHGAP42
chr11:100913534:+	0	0	1	0	1	0	0	chr11:100913534:+	.	exon	ARHGAP42
chr11:100925588:+	0	2	0	0	0	0	0	chr11:100925588:+	.	intron	ARHGAP42
chr11:100977904:+	0	1	1	0	0	0	0	chr11:100977904:+	.	intron	ARHGAP42
chr11:100988874:+	1	2	0	1	1	0	0	chr11:100988874:+	ARHGAP42:chr11:100988802:100993941:u1	3UTR	ARHGAP42
chr11:100988985:+	0	5	0	0	0	0	0	chr11:100988985:+	ARHGAP42:chr11:100988802:100993941:u1	3UTR	ARHGAP42
chr11:100989232:+	0	0	1	0	0	0	0	chr11:100989232:+	ARHGAP42:chr11:100988802:100993941:u1	3UTR	ARHGAP42
chr11:100989276:+	8	11	1	2	0	2	0	chr11:100989276:+	ARHGAP42:chr11:100988802:100993941:u1	3UTR	ARHGAP42
chr11:100989352:+	1	1	1	0	0	0	0	chr11:100989352:+	ARHGAP42:chr11:100988802:100993941:u1	3UTR	ARHGAP42
chr11:100989415:+	1	0	0	0	0	0	0	chr11:100989415:+	ARHGAP42:chr11:100988802:100993941:u1	3UTR	ARHGAP42
chr11:100989604:+	0	0	0	0	2	0	0	chr11:100989604:+	ARHGAP42:chr11:100988802:100993941:u1	3UTR	ARHGAP42
chr11:100989896:+	1	3	2	0	1	2	0	chr11:100989896:+	ARHGAP42:chr11:100988802:100993941:u1	3UTR	ARHGAP42
chr11:100989981:+	41	41	7	11	15	7	6	chr11:100989981:+	ARHGAP42:chr11:100988802:100993941:u1	3UTR	ARHGAP42
chr11:100990433:+	1	0	0	0	0	0	0	chr11:100990433:+	ARHGAP42:chr11:100988802:100993941:u1	3UTR	ARHGAP42
chr11:100990512:+	1	2	0	1	0	0	0	chr11:100990512:+	ARHGAP42:chr11:100988802:100993941:u1	3UTR	ARHGAP42
chr11:100990552:+	1	2	0	0	0	0	0	chr11:100990552:+	ARHGAP42:chr11:100988802:100993941:u1	3UTR	ARHGAP42
chr11:101451566:-	0	6	0	0	1	1	2	chr11:101451566:-	TRPC6:chr11:101451564:101452954:u1	3UTR	TRPC6
chr11:101451941:-	12	13	1	0	3	3	2	chr11:101451941:-	TRPC6:chr11:101451564:101452954:u1	3UTR	TRPC6
chr11:101452167:-	2	1	0	0	0	1	0	chr11:101452167:-	TRPC6:chr11:101451564:101452954:u1	3UTR	TRPC6
chr11:101452321:-	3	4	0	0	0	1	1	chr11:101452321:-	TRPC6:chr11:101451564:101452954:u1	3UTR	TRPC6
chr11:101452694:-	24	29	0	0	4	5	8	chr11:101452694:-	TRPC6:chr11:101451564:101452954:u1	3UTR	TRPC6
chr11:101471183:-	3	6	0	0	0	0	1	chr11:101471183:-	.	exon	TRPC6
chr11:101704373:+	31	35	0	1	5	13	10	chr11:101704373:+	.	intergenic	intergenic:chr11:101704378
chr11:101704589:+	5	1	0	0	1	0	0	chr11:101704589:+	.	intergenic	intergenic:chr11:101704589
chr11:101923226:+	0	0	1	1	0	0	0	chr11:101923226:+	.	intron	CEP126
chr11:101924241:+	0	0	1	7	0	0	1	chr11:101924241:+	.	intron	CEP126
chr11:101944281:+	0	0	1	0	0	0	1	chr11:101944281:+	.	5UTR	CEP126
chr11:101945268:+	1	0	2	4	0	0	2	chr11:101945268:+	.	intron	CEP126
chr11:101948909:+	0	0	0	3	0	0	0	chr11:101948909:+	.	intron	CEP126
chr11:101951115:+	0	0	1	1	0	0	0	chr11:101951115:+	.	intron	CEP126
chr11:101951521:+	3	0	2	7	4	0	0	chr11:101951521:+	.	intron	CEP126
chr11:101951551:+	0	0	0	2	0	0	0	chr11:101951551:+	.	intron	CEP126
chr11:101951666:+	0	0	0	3	1	0	0	chr11:101951666:+	.	intron	CEP126
chr11:101962652:+	0	0	1	2	0	1	1	chr11:101962652:+	.	exon	CEP126
chr11:101962909:+	2	0	5	4	0	2	1	chr11:101962909:+	.	exon	CEP126
chr11:101985814:+	0	0	0	2	0	0	0	chr11:101985814:+	.	intron	CEP126
chr11:101998030:+	2	9	11	23	8	11	4	chr11:101998030:+	CEP126:chr11:101997644:102001062:u1	3UTR	CEP126
chr11:101998137:+	0	0	1	3	0	0	0	chr11:101998137:+	CEP126:chr11:101997644:102001062:u1	3UTR	CEP126
chr11:102000533:+	0	0	1	1	0	0	0	chr11:102000533:+	CEP126:chr11:101997644:102001062:u1	3UTR	CEP126
chr11:102001057:+	0	0	0	1	0	1	0	chr11:102001057:+	CEP126:chr11:101997644:102001062:u1	3UTR	CEP126
chr11:102058867:+	0	0	0	2	0	1	0	chr11:102058867:+	.	intron	CFAP300
chr11:102067402:+	1	3	16	16	0	2	2	chr11:102067402:+	.	intron	CFAP300
chr11:102067511:+	1	2	4	6	0	0	0	chr11:102067511:+	.	intron	CFAP300
chr11:102067982:+	0	0	1	4	0	0	0	chr11:102067982:+	.	intron	CFAP300
chr11:102075604:+	1	0	1	0	0	0	0	chr11:102075604:+	.	intron	CFAP300
chr11:102076109:+	0	0	4	0	0	0	0	chr11:102076109:+	CFAP300:chr11:102075905:102076111:u1	3UTR	CFAP300
chr11:102076566:+	0	0	1	2	0	0	0	chr11:102076566:+	.	intron	CFAP300
chr11:102081431:+	2	1	7	6	0	0	1	chr11:102081431:+	.	intron	CFAP300
chr11:102083587:+	3	4	12	5	1	2	1	chr11:102083587:+	CFAP300:chr11:102083200:102084560:u2	3UTR	CFAP300
chr11:102083744:+	0	0	1	0	1	0	1	chr11:102083744:+	CFAP300:chr11:102083200:102084560:u2	3UTR	CFAP300
chr11:102084080:+	0	0	4	0	0	0	0	chr11:102084080:+	CFAP300:chr11:102083200:102084560:u2	3UTR	CFAP300
chr11:102084486:+	1	0	1	1	2	0	0	chr11:102084486:+	CFAP300:chr11:102083200:102084560:u2	3UTR	CFAP300
chr11:102084554:+	1	1	1	3	0	0	0	chr11:102084554:+	CFAP300:chr11:102083200:102084560:u2	3UTR	CFAP300
chr11:102186255:+	1	1	0	0	0	0	0	chr11:102186255:+	.	intron	YAP1
chr11:102230456:+	5	12	0	1	0	0	1	chr11:102230456:+	YAP1:chr11:102229941:102233424:u1	3UTR	YAP1
chr11:102230620:+	32	27	1	0	1	4	1	chr11:102230620:+	YAP1:chr11:102229941:102233424:u1	3UTR	YAP1
chr11:102232739:+	3	2	0	0	2	0	0	chr11:102232739:+	YAP1:chr11:102229941:102233424:u1	3UTR	YAP1
chr11:102233423:+	14	6	0	0	3	2	0	chr11:102233423:+	YAP1:chr11:102229941:102233424:u1	3UTR	YAP1
chr11:102349467:+	0	0	0	3	0	0	0	chr11:102349467:+	.	5UTR	BIRC2
chr11:102349751:+	0	0	0	2	0	0	0	chr11:102349751:+	.	5UTR	BIRC2
chr11:102351223:+	0	1	0	0	0	1	0	chr11:102351223:+	.	intron	BIRC2
chr11:102369640:+	0	0	0	0	0	1	0	chr11:102369640:+	.	intron	BIRC2
chr11:102378190:+	0	0	3	1	0	0	1	chr11:102378190:+	BIRC2:chr11:102378184:102378670:u1	3UTR	BIRC2
chr11:102378250:+	0	1	0	1	0	0	0	chr11:102378250:+	BIRC2:chr11:102378184:102378670:u1	3UTR	BIRC2
chr11:102378668:+	395	460	921	1054	844	868	514	chr11:102378668:+	BIRC2:chr11:102378184:102378670:u1	3UTR	BIRC2
chr11:102378777:+	0	0	2	3	3	2	0	chr11:102378777:+	.	intergenic	intergenic:chr11:102378791
chr11:102396279:-	0	0	0	0	2	0	0	chr11:102396279:-	.	intergenic	intergenic:chr11:102396279
chr11:102396332:-	284	314	9	21	68	80	43	chr11:102396332:-	TMEM123:chr11:102396334:102398866:u1	3UTR	TMEM123
chr11:102397695:-	2	2	0	0	1	1	1	chr11:102397695:-	TMEM123:chr11:102396334:102398866:u1	3UTR	TMEM123
chr11:102398296:-	106	96	12	12	19	18	21	chr11:102398296:-	TMEM123:chr11:102396334:102398866:u1	3UTR	TMEM123
chr11:102398653:-	26	34	0	4	8	4	5	chr11:102398653:-	TMEM123:chr11:102396334:102398866:u1	3UTR	TMEM123
chr11:102398749:-	0	1	0	0	1	0	0	chr11:102398749:-	TMEM123:chr11:102396334:102398866:u1	3UTR	TMEM123
chr11:102401375:-	0	1	1	0	0	0	2	chr11:102401375:-	.	intron	TMEM123
chr11:102744343:-	2	0	0	0	0	0	0	chr11:102744343:-	.	intergenic	intergenic:chr11:102744343
chr11:102751015:-	0	0	1	1	0	0	0	chr11:102751015:-	.	intergenic	intergenic:chr11:102751026
chr11:102753123:+	2	1	4	6	1	1	1	chr11:102753123:+	.	intergenic	intergenic:chr11:102753136
chr11:102753293:+	2	0	0	0	0	0	0	chr11:102753293:+	.	intergenic	intergenic:chr11:102753293
chr11:102770502:-	26	23	6	4	9	5	7	chr11:102770502:-	MMP10:chr11:102770502:102770792:u1	3UTR	MMP10
chr11:102770736:-	2	2	0	0	0	0	0	chr11:102770736:-	MMP10:chr11:102770502:102770792:u1	3UTR	MMP10
chr11:102789919:-	2	2	4	1	0	3	4	chr11:102789919:-	MMP1:chr11:102789919:102790411:u1	3UTR	MMP1
chr11:102834428:+	0	0	2	1	0	0	0	chr11:102834428:+	.	intron	WTAPP1
chr11:102835801:-	1	0	6	3	2	0	1	chr11:102835801:-	MMP3:chr11:102835801:102836125:u1	3UTR	MMP3
chr11:102942992:-	0	1	0	0	0	1	0	chr11:102942992:-	MMP13:chr11:102942995:102944265:u1	3UTR	MMP13
chr11:102943757:-	1	3	0	0	0	0	0	chr11:102943757:-	MMP13:chr11:102942995:102944265:u1	3UTR	MMP13
chr11:103059557:-	2	5	1	2	5	4	1	chr11:103059557:-	DCUN1D5:chr11:103050686:103062358:u1	3UTR	DCUN1D5
chr11:103060694:-	3	0	1	1	1	1	0	chr11:103060694:-	DCUN1D5:chr11:103050686:103062358:u1	3UTR	DCUN1D5
chr11:103061208:-	0	0	0	1	0	0	0	chr11:103061208:-	DCUN1D5:chr11:103050686:103062358:u1	3UTR	DCUN1D5
chr11:103061826:-	11	15	11	13	10	16	13	chr11:103061826:-	DCUN1D5:chr11:103050686:103062358:u1	3UTR	DCUN1D5
chr11:103062088:-	3467	3779	2366	2355	1207	1370	1479	chr11:103062088:-	DCUN1D5:chr11:103050686:103062358:u1	3UTR	DCUN1D5
chr11:103080301:-	6	13	4	8	5	1	2	chr11:103080301:-	.	intron	DCUN1D5
chr11:103080385:-	3	2	1	1	2	1	1	chr11:103080385:-	.	intron	DCUN1D5
chr11:103080646:-	25	21	5	7	3	5	3	chr11:103080646:-	.	intron	DCUN1D5
chr11:103081118:-	0	2	0	0	0	0	0	chr11:103081118:-	.	intron	DCUN1D5
chr11:103082126:-	0	1	0	1	0	0	0	chr11:103082126:-	.	intron	DCUN1D5
chr11:103082881:-	0	0	0	1	0	0	0	chr11:103082881:-	.	intron	DCUN1D5
chr11:103121785:+	25	22	20	25	7	17	10	chr11:103121785:+	.	intron	DYNC2H1
chr11:103125877:+	0	0	1	0	0	2	0	chr11:103125877:+	.	intron	DYNC2H1
chr11:103143357:+	7	4	9	7	1	2	3	chr11:103143357:+	.	exon	DYNC2H1
chr11:103145572:+	1	0	3	3	0	0	2	chr11:103145572:+	.	intron	DYNC2H1
chr11:103153453:+	36	39	24	22	10	18	20	chr11:103153453:+	.	exon	DYNC2H1
chr11:103154927:+	0	0	0	1	0	0	1	chr11:103154927:+	.	intron	DYNC2H1
chr11:103156098:+	1	1	2	1	2	2	0	chr11:103156098:+	.	intron	DYNC2H1
chr11:103170535:+	2	0	0	1	0	0	0	chr11:103170535:+	.	intron	DYNC2H1
chr11:103186647:+	0	1	0	0	0	1	0	chr11:103186647:+	.	intron	DYNC2H1
chr11:103255471:+	2	2	0	0	0	1	0	chr11:103255471:+	.	exon	DYNC2H1
chr11:103286949:+	0	1	0	1	0	0	0	chr11:103286949:+	.	intron	DYNC2H1
chr11:103289777:+	1	1	0	3	2	1	0	chr11:103289777:+	.	intron	DYNC2H1
chr11:103479457:+	3	9	11	7	4	9	3	chr11:103479457:+	DYNC2H1:chr11:103479254:103479863:u1	3UTR	DYNC2H1
chr11:103479503:+	9	5	4	3	1	1	1	chr11:103479503:+	DYNC2H1:chr11:103479254:103479863:u1	3UTR	DYNC2H1
chr11:103479618:+	139	183	161	200	57	71	37	chr11:103479618:+	DYNC2H1:chr11:103479254:103479863:u1	3UTR	DYNC2H1
chr11:103673977:-	0	0	0	0	2	1	4	chr11:103673977:-	.	intergenic	intergenic:chr11:103673977
chr11:103698416:-	0	0	0	0	1	1	2	chr11:103698416:-	.	intergenic	intergenic:chr11:103698416
chr11:103865026:-	0	2	0	0	0	0	1	chr11:103865026:-	.	intergenic	intergenic:chr11:103865043
chr11:103907189:-	12	16	1	1	67	63	33	chr11:103907189:-	PDGFD:chr11:103907191:103909693:u1	3UTR	PDGFD
chr11:103907372:-	3	0	0	0	1	2	0	chr11:103907372:-	PDGFD:chr11:103907191:103909693:u1	3UTR	PDGFD
chr11:103908433:-	2	3	0	0	0	2	2	chr11:103908433:-	PDGFD:chr11:103907191:103909693:u1	3UTR	PDGFD
chr11:103908991:-	8	5	0	0	4	2	2	chr11:103908991:-	PDGFD:chr11:103907191:103909693:u1	3UTR	PDGFD
chr11:103942320:-	1	1	0	0	0	0	0	chr11:103942320:-	.	intron	PDGFD
chr11:104092333:-	0	2	0	0	0	0	0	chr11:104092333:-	.	intron	PDGFD
chr11:104942870:-	0	1	0	0	0	0	1	chr11:104942870:-	CASP4:chr11:104942866:104942973:u2	3UTR	CASP4
chr11:105613488:+	0	2	2	1	5	4	3	chr11:105613488:+	.	intron	GRIA4
chr11:105613706:+	0	0	0	1	1	1	1	chr11:105613706:+	.	intron	GRIA4
chr11:105614419:+	0	0	0	0	3	0	1	chr11:105614419:+	.	intron	GRIA4
chr11:105616741:+	1	0	1	0	0	1	0	chr11:105616741:+	.	intron	GRIA4
chr11:105634515:+	0	0	0	0	1	3	0	chr11:105634515:+	.	intron	GRIA4
chr11:105645448:+	0	0	1	0	1	0	0	chr11:105645448:+	.	intron	GRIA4
chr11:105645581:+	0	0	0	1	1	2	1	chr11:105645581:+	.	intron	GRIA4
chr11:105721681:+	0	0	0	1	2	0	0	chr11:105721681:+	.	intron	GRIA4
chr11:105722816:+	0	0	0	0	4	3	0	chr11:105722816:+	.	intron	GRIA4
chr11:105722928:+	0	0	0	0	2	4	1	chr11:105722928:+	.	intron	GRIA4
chr11:105723812:+	0	0	0	0	1	1	0	chr11:105723812:+	.	intron	GRIA4
chr11:105754906:+	1	0	0	0	2	2	1	chr11:105754906:+	.	intron	GRIA4
chr11:105756073:+	0	0	1	1	0	1	0	chr11:105756073:+	.	intron	GRIA4
chr11:105759237:+	2	0	0	0	0	0	0	chr11:105759237:+	.	intron	GRIA4
chr11:105764788:+	0	0	1	0	2	1	0	chr11:105764788:+	.	intron	GRIA4
chr11:105780727:+	0	0	0	1	1	0	0	chr11:105780727:+	.	intron	GRIA4
chr11:105783728:+	2	3	0	1	0	0	1	chr11:105783728:+	.	intron	GRIA4
chr11:105801404:+	0	2	0	0	0	0	0	chr11:105801404:+	.	intron	GRIA4
chr11:105825466:+	0	0	0	1	0	1	0	chr11:105825466:+	.	intron	GRIA4
chr11:105862630:+	0	0	0	1	1	1	0	chr11:105862630:+	.	intron	GRIA4
chr11:105863991:+	2	3	1	0	0	0	0	chr11:105863991:+	.	intron	GRIA4
chr11:105905763:+	0	0	0	0	0	1	1	chr11:105905763:+	.	intron	GRIA4
chr11:105907188:+	0	0	0	0	0	3	0	chr11:105907188:+	.	intron	GRIA4
chr11:105911912:+	0	0	1	2	1	1	0	chr11:105911912:+	GRIA4:chr11:105911909:105913506:u1	3UTR	GRIA4
chr11:105912088:+	0	0	2	0	0	0	0	chr11:105912088:+	GRIA4:chr11:105911909:105913506:u1	3UTR	GRIA4
chr11:105912349:+	2	1	3	1	3	2	2	chr11:105912349:+	GRIA4:chr11:105911909:105913506:u1	3UTR	GRIA4
chr11:105912428:+	0	0	3	2	2	2	1	chr11:105912428:+	GRIA4:chr11:105911909:105913506:u1	3UTR	GRIA4
chr11:105918740:+	1	0	12	3	29	20	30	chr11:105918740:+	.	exon	GRIA4
chr11:105926927:+	0	0	0	0	1	0	1	chr11:105926927:+	.	exon	GRIA4
chr11:105935056:+	1	1	1	0	0	2	1	chr11:105935056:+	.	intron	GRIA4
chr11:105935258:+	1	0	2	0	1	0	1	chr11:105935258:+	.	intron	GRIA4
chr11:105935559:+	1	0	0	0	0	0	1	chr11:105935559:+	.	intron	GRIA4
chr11:105937456:+	1	0	0	0	1	2	0	chr11:105937456:+	.	intron	GRIA4
chr11:105937783:+	2	0	0	2	5	3	0	chr11:105937783:+	.	intron	GRIA4
chr11:105944577:+	0	1	0	3	0	2	1	chr11:105944577:+	.	intron	GRIA4
chr11:105945931:+	0	0	0	0	3	3	3	chr11:105945931:+	.	intron	GRIA4
chr11:105946656:+	0	0	0	0	1	2	1	chr11:105946656:+	.	intron	GRIA4
chr11:105948075:+	0	0	1	0	1	0	0	chr11:105948075:+	.	intron	GRIA4
