gene_id	p_value	dominant_pair	dominant_pair_coor	contribution	residual	FDR	sig	tss	pas
SRRM1	6.37132927193969e-51	P13-PA03	chr1:24669583:+|chr1:24673267:+	54.0340265688843	7.35078407851056	1.24641129927946e-49	TRUE	chr1:24643272:+;chr1:24643559:+;chr1:24649988:+;chr1:24651520:+;chr1:24652497:+;chr1:24655011:+;chr1:24669583:+	chr1:24650018:+;chr1:24671417:+;chr1:24673267:+
MTREX	4.78748316452092e-50	P06-PA02	chr5:55416056:+|chr5:55425579:+	177.644998525907	13.3283531813164	9.31883597973998e-49	TRUE	chr5:55307989:+;chr5:55308069:+;chr5:55322327:+;chr5:55416056:+	chr5:55424980:+;chr5:55425579:+
PPHLN1	5.91336000828517e-49	P08-PA02	chr12:42442649:+|chr12:42448618:+	197.515607223806	14.0540245916893	1.14530898070916e-47	TRUE	chr12:42238447:+;chr12:42326145:+;chr12:42442649:+	chr12:42441956:+;chr12:42448618:+
TKT	6.01429557216971e-48	P01-PA01	chr3:53229437:-|chr3:53224712:-	207.236643036779	14.3957161349055	1.1590917159632e-46	TRUE	chr3:53229437:-;chr3:53235019:-;chr3:53235160:-;chr3:53242199:-;chr3:53255974:-;chr3:53256114:-	chr3:53224712:-;chr3:53225652:-
KLHL7	1.55931625241831e-47	P07-PA05	chr7:23165875:+|chr7:23175421:+	30.3668030757686	5.51060823101848	2.99035377865246e-46	TRUE	chr7:23105734:+;chr7:23106117:+;chr7:23106295:+;chr7:23106656:+;chr7:23143929:+;chr7:23165875:+	chr7:23126048:+;chr7:23144500:+;chr7:23156513:+;chr7:23175304:+;chr7:23175421:+
CREB5	4.15714017703945e-47	P09-PA03	chr7:28686133:+|chr7:28819560:+	154.751507589936	12.4399158996327	7.93320917118363e-46	TRUE	chr7:28409335:+;chr7:28685981:+;chr7:28686133:+	chr7:28410758:+;chr7:28411709:+;chr7:28819560:+;chr7:28819985:+
EIF4B	2.01360818455566e-46	P04-PA02	chr12:53034646:+|chr12:53042209:+	62.8503572311632	7.92782172044523	3.82389105486594e-45	TRUE	chr12:53006282:+;chr12:53006431:+;chr12:53018860:+;chr12:53034646:+	chr12:53040332:+;chr12:53042209:+
MRPS7	6.01319747427236e-46	P01-PA01	chr17:75261674:+|chr17:75266058:+	161.726566150308	12.717176028911	1.13637756152147e-44	TRUE	chr17:75261674:+;chr17:75261879:+;chr17:75262609:+	chr17:75266058:+;chr17:75266363:+
CALM1	8.89122484675244e-46	P08-PA02	chr14:90401333:+|chr14:90405610:+	28.3413425803173	5.3236587588159	1.67215161006798e-44	TRUE	chr14:90397029:+;chr14:90398250:+;chr14:90399978:+;chr14:90401333:+	chr14:90405107:+;chr14:90405610:+
DCLK1	1.371327982112e-45	P03-PA02	chr13:35855642:-|chr13:35849169:-	82.6460008139407	9.09098458990778	2.56662492036635e-44	TRUE	chr13:35793479:-;chr13:35808337:-;chr13:35855642:-;chr13:35855784:-;chr13:35855861:-;chr13:36131306:-;chr13:36131382:-	chr13:35771340:-;chr13:35849169:-
TTC14	1.74610702150789e-45	P05-PA04	chr3:180609871:+|chr3:180618329:+	201.150490326001	14.1827532702928	3.25243762427283e-44	TRUE	chr3:180602163:+;chr3:180602562:+;chr3:180609871:+	chr3:180608735:+;chr3:180610521:+;chr3:180610979:+;chr3:180618329:+
PPP4R3B	1.01357170508776e-44	P01-PA01	chr2:55573718:-|chr2:55548378:-	133.100412855603	11.5369152226929	1.87896887995555e-43	TRUE	chr2:55573718:-;chr2:55617608:-;chr2:55618880:-	chr2:55548378:-;chr2:55613997:-
FAM13A	1.47669365752636e-44	P05-PA02	chr4:88749867:-|chr4:88726476:-	60.1276178010471	7.75420001038451	2.72453479087683e-43	TRUE	chr4:88749867:-;chr4:88823201:-;chr4:89057150:-	chr4:88726476:-;chr4:88726361:-;chr4:88727059:-;chr4:88855354:-;chr4:88988720:-;chr4:88989622:-;chr4:88990009:-
EZR	3.07863397456235e-43	P01-PA01	chr6:158818227:-|chr6:158765748:-	40.2043777101955	6.34069221064984	5.65335946366568e-42	TRUE	chr6:158818227:-;chr6:158819349:-	chr6:158765748:-;chr6:158766130:-;chr6:158766556:-
MTHFD1L	1.45635777664464e-42	P01-PA01	chr6:150865679:+|chr6:150898997:+	66.6766986715803	8.16558011849619	2.66178442463737e-41	TRUE	chr6:150865679:+;chr6:150865944:+;chr6:150866333:+;chr6:150866506:+;chr6:150866557:+;chr6:150905670:+;chr6:150971948:+;chr6:151014880:+;chr6:151034532:+;chr6:151036974:+	chr6:150898997:+;chr6:151101887:+
SEPTIN2	2.40984809740277e-42	P16-PA02	chr2:241350087:+|chr2:241354027:+	64.0265063197938	8.00165647349309	4.38389656223784e-41	TRUE	chr2:241315270:+;chr2:241315355:+;chr2:241315447:+;chr2:241315861:+;chr2:241316165:+;chr2:241316483:+;chr2:241324216:+;chr2:241335946:+;chr2:241337311:+;chr2:241337476:+;chr2:241337720:+;chr2:241350087:+	chr2:241352555:+;chr2:241354027:+
NUDT5	2.84682137363421e-42	P01-PA01	chr10:12173813:-|chr10:12165330:-	79.575778809148	8.92052570251036	5.15473284072464e-41	TRUE	chr10:12173813:-;chr10:12179132:-;chr10:12195822:-;chr10:12196144:-	chr10:12165330:-;chr10:12167576:-;chr10:12167477:-
GPM6B	3.2848002574793e-42	P08-PA04	chrX:13938638:-|chrX:13773456:-	74.6964793179201	8.64271249770117	5.92024416776246e-41	TRUE	chrX:13817069:-;chrX:13817323:-;chrX:13938415:-;chrX:13938638:-;chrX:13938824:-	chrX:13770943:-;chrX:13771029:-;chrX:13771459:-;chrX:13773456:-
ILF3	3.423473771071e-42	P16-PA03	chr19:10687605:+|chr19:10692394:+	51.9792004640519	7.20966021834954	6.14174349805502e-41	TRUE	chr19:10654261:+;chr19:10655024:+;chr19:10670512:+;chr19:10670606:+;chr19:10671037:+;chr19:10671170:+;chr19:10671481:+;chr19:10677205:+;chr19:10679185:+;chr19:10683518:+;chr19:10683756:+;chr19:10687605:+	chr19:10681104:+;chr19:10689844:+;chr19:10692394:+
RBM39	4.44430140135223e-42	P08-PA01	chr20:35714251:-|chr20:35703609:-	20.2412695086136	4.49902984082276	7.93654374103864e-41	TRUE	chr20:35707361:-;chr20:35707988:-;chr20:35713096:-;chr20:35713203:-;chr20:35713366:-;chr20:35714251:-;chr20:35716787:-;chr20:35721839:-;chr20:35725063:-;chr20:35729344:-;chr20:35739037:-;chr20:35739140:-;chr20:35739283:-;chr20:35740597:-;chr20:35740837:-;chr20:35741958:-;chr20:35742113:-;chr20:35742178:-	chr20:35703609:-;chr20:35704326:-
H3-3A	4.56345634175246e-42	P03-PA01	chr1:226063466:+|chr1:226071846:+	156.065488930787	12.4926173771067	8.11211668422024e-41	TRUE	chr1:226061851:+;chr1:226062714:+;chr1:226063466:+	chr1:226071846:+;chr1:226072000:+
GRB2	6.85452118310233e-42	P01-PA01	chr17:75321753:-|chr17:75318076:-	57.8747432134784	7.60754515027538	1.21293868026443e-40	TRUE	chr17:75321753:-;chr17:75393656:-;chr17:75393803:-;chr17:75393864:-;chr17:75405486:-;chr17:75405678:-	chr17:75318076:-;chr17:75320011:-
ARFGEF1	2.67844424168915e-41	P08-PA03	chr8:67343781:-|chr8:67266032:-	85.7228144989339	9.25866159328301	4.71818254882166e-40	TRUE	chr8:67211529:-;chr8:67238754:-;chr8:67343677:-;chr8:67343781:-	chr8:67197673:-;chr8:67198363:-;chr8:67266032:-
SOGA3	1.02829091135453e-40	P05-PA05	chr6:127519001:-|chr6:127512717:-	42.5777619302312	6.52516374738835	1.80321464770413e-39	TRUE	chr6:127475473:-;chr6:127475694:-;chr6:127476064:-;chr6:127518891:-;chr6:127519001:-;chr6:127519191:-	chr6:127443423:-;chr6:127443672:-;chr6:127447626:-;chr6:127512717:-
PNKD	1.6655119131201e-40	P06-PA02	chr2:218323268:+|chr2:218346791:+	82.4792940650439	9.08181116655945	2.90755061783702e-39	TRUE	chr2:218270511:+;chr2:218323173:+;chr2:218323268:+	chr2:218272939:+;chr2:218346791:+
IPO5	1.77589684866642e-40	P07-PA01	chr13:97976632:+|chr13:98021882:+	28.9506871356192	5.38058427455784	3.08641358565106e-39	TRUE	chr13:97976465:+;chr13:97976632:+;chr13:97993150:+;chr13:98002476:+;chr13:98003009:+;chr13:98018586:+;chr13:98019579:+	chr13:98021882:+;chr13:98022484:+;chr13:98023078:+;chr13:98024279:+
KIF21A	1.90336119303208e-40	P12-PA02	chr12:39443120:-|chr12:39337185:-	88.0665322580645	9.38437703089899	3.29323783309951e-39	TRUE	chr12:39332327:-;chr12:39332408:-;chr12:39340247:-;chr12:39341058:-;chr12:39357287:-;chr12:39443120:-;chr12:39443390:-	chr12:39293231:-;chr12:39337185:-
LRRFIP1	1.99338197566427e-40	P03-PA01	chr2:237692145:+|chr2:237763440:+	44.7691099351222	6.6909722712863	3.43373275719513e-39	TRUE	chr2:237627587:+;chr2:237692145:+;chr2:237692333:+;chr2:237692494:+;chr2:237756095:+;chr2:237771944:+	chr2:237763440:+;chr2:237780315:+
FRMD4A	3.98587730579684e-40	P15-PA04	chr10:14174363:-|chr10:14082947:-	125.672727272727	11.2103847959259	6.83569178478727e-39	TRUE	chr10:13654526:-;chr10:13657123:-;chr10:14174363:-	chr10:13643714:-;chr10:13645891:-;chr10:13646331:-;chr10:14082947:-
SRRM3	7.33863256005355e-40	P05-PA04	chr7:76282614:+|chr7:76287287:+	95.6162162162162	9.77835447384764	1.25303932264423e-38	TRUE	chr7:76201896:+;chr7:76282614:+	chr7:76260164:+;chr7:76264792:+;chr7:76275937:+;chr7:76287287:+
COQ4	1.80617804316656e-39	P01-PA01	chr9:128322544:+|chr9:128323584:+	109.409683498633	10.4599083886348	3.07050267338315e-38	TRUE	chr9:128322544:+;chr9:128322839:+	chr9:128323584:+;chr9:128334072:+
LARP1B	2.64300233203131e-39	P02-PA01	chr4:128061514:+|chr4:128077828:+	118.351724137931	10.8789578608399	4.47356872982517e-38	TRUE	chr4:128061286:+;chr4:128061514:+;chr4:128077841:+;chr4:128122117:+	chr4:128108294:+;chr4:128108901:+;chr4:128123869:+;chr4:128077828:+
IGSF1	5.90618247803297e-39	P02-PA01	chrX:131276092:-|chrX:131273506:-	68.1776636490251	8.25697666516172	9.95357938830405e-38	TRUE	chrX:131275148:-;chrX:131276092:-;chrX:131281346:-;chrX:131289278:-;chrX:131289429:-	chrX:131273506:-;chrX:131284166:-
SORBS2	8.84990359311147e-39	P02-PA01	chr4:185611980:-|chr4:185585523:-	62.2481481481482	7.88974956181425	1.48502908137858e-37	TRUE	chr4:185589835:-;chr4:185611980:-;chr4:185652688:-;chr4:185656680:-;chr4:185656967:-;chr4:185657520:-;chr4:185775276:-;chr4:185775380:-;chr4:185775522:-;chr4:185812194:-;chr4:185956334:-	chr4:185585523:-;chr4:185645414:-;chr4:185646068:-
NUB1	1.03178740882261e-38	P08-PA03	chr7:151368830:+|chr7:151378449:+	88.2539033666591	9.39435486697512	1.72392634444052e-37	TRUE	chr7:151341761:+;chr7:151345345:+;chr7:151360141:+;chr7:151368733:+;chr7:151368830:+	chr7:151361249:+;chr7:151377286:+;chr7:151378449:+
AP2A2	1.15005440339966e-38	P27-PA02	chr11:1008081:+|chr11:1012240:+	76.9806482255601	8.77386164841685	1.91331700531405e-37	TRUE	chr11:925809:+;chr11:925870:+;chr11:985538:+;chr11:1000563:+;chr11:1003732:+;chr11:1006544:+;chr11:1008081:+;chr11:1009284:+	chr11:1010921:+;chr11:1012240:+
AGAP3	1.59947552660901e-38	P10-PA01	chr7:151117754:+|chr7:151123636:+	34.5666010311255	5.87933678497205	2.64968435110165e-37	TRUE	chr7:151085831:+;chr7:151086475:+;chr7:151087067:+;chr7:151117392:+;chr7:151117754:+;chr7:151118209:+;chr7:151118268:+;chr7:151120016:+;chr7:151120071:+;chr7:151128577:+;chr7:151134425:+;chr7:151134482:+	chr7:151144434:+;chr7:151123636:+
NASP	4.66480603380364e-38	P08-PA02	chr1:45615059:+|chr1:45618891:+	112.778214959164	10.6197087982281	7.69495334304981e-37	TRUE	chr1:45583988:+;chr1:45584041:+;chr1:45613169:+;chr1:45615059:+	chr1:45618247:+;chr1:45618891:+
SEMA4D	6.85514108990067e-38	P04-PA01	chr9:89377282:-|chr9:89361599:-	175.619504396483	13.2521509347156	1.12603646679255e-36	TRUE	chr9:89377282:-;chr9:89381187:-;chr9:89388726:-;chr9:89455953:-;chr9:89495656:-;chr9:89498038:-;chr9:89498113:-	chr9:89361599:-;chr9:89377235:-;chr9:89377391:-
CDK16	9.84146763956494e-38	P16-PA02	chrX:47227181:+|chrX:47229997:+	69.7368168955983	8.35085725513245	1.60978292104312e-36	TRUE	chrX:47218027:+;chrX:47218233:+;chrX:47218303:+;chrX:47218387:+;chrX:47218681:+;chrX:47218776:+;chrX:47223638:+;chrX:47225965:+;chrX:47227123:+;chrX:47227181:+	chrX:47228991:+;chrX:47229997:+
HMGB1	1.26270312794214e-37	P01-PA01	chr13:30463264:-|chr13:30459850:-	36.8494160008421	6.07037198208167	2.05677961384048e-36	TRUE	chr13:30463264:-;chr13:30464247:-;chr13:30464310:-;chr13:30465914:-;chr13:30617587:-	chr13:30459850:-;chr13:30460895:-;chr13:30461262:-
ITSN2	1.30183920089463e-37	P03-PA01	chr2:24209948:-|chr2:24202864:-	65.9597501734906	8.12156082126402	2.11169167045116e-36	TRUE	chr2:24208316:-;chr2:24209948:-;chr2:24360309:-;chr2:24360472:-	chr2:24202864:-;chr2:24275712:-;chr2:24271908:-
RIOK2	2.45563298993794e-37	P01-PA01	chr5:97167577:-|chr5:97160867:-	106.568998369576	10.3232261609235	3.96671337337278e-36	TRUE	chr5:97167577:-;chr5:97167719:-;chr5:97183160:-;chr5:97183222:-	chr5:97160867:-;chr5:97162936:-
UBXN4	3.08091998306414e-37	P07-PA03	chr2:135772447:+|chr2:135785056:+	73.0397180804493	8.54632775409704	4.95620722895401e-36	TRUE	chr2:135741734:+;chr2:135741786:+;chr2:135741855:+;chr2:135754152:+;chr2:135772447:+	chr2:135769791:+;chr2:135770631:+;chr2:135785056:+
NUP214	3.97606956233147e-37	P24-PA02	chr9:131228175:+|chr9:131234663:+	72.2354697807096	8.4991452382407	6.36989251282157e-36	TRUE	chr9:131125573:+;chr9:131125739:+;chr9:131163100:+;chr9:131174168:+;chr9:131178349:+;chr9:131187312:+;chr9:131197338:+;chr9:131198452:+;chr9:131228175:+;chr9:131228294:+	chr9:131233704:+;chr9:131234663:+
LOC441242	4.70849538956749e-37	P02-PA04	chr7:65770810:-|chr7:65762611:-	158.28488372093	12.5811320524399	7.51236579983043e-36	TRUE	chr7:65750924:-;chr7:65770810:-	chr7:65714617:-;chr7:65714695:-;chr7:65721290:-;chr7:65762611:-
NEB	5.38859568690713e-37	P04-PA01	chr2:151508042:-|chr2:151485339:-	92.9448529411765	9.64079109519423	8.56236857515488e-36	TRUE	chr2:151506947:-;chr2:151508042:-;chr2:151734476:-	chr2:151485339:-;chr2:151709653:-;chr2:151717416:-
RRM2	5.94531804153403e-37	P08-PA03	chr2:10129099:+|chr2:10131414:+	123.062188779705	11.0933398388269	9.4085866405252e-36	TRUE	chr2:10122712:+;chr2:10126791:+;chr2:10129099:+	chr2:10129800:+;chr2:10129967:+;chr2:10131414:+
PLRG1	6.11047062065292e-37	P02-PA01	chr4:154539184:-|chr4:154535005:-	86.2512394730673	9.28715454125036	9.63079438307766e-36	TRUE	chr4:154539184:-;chr4:154540936:-;chr4:154545954:-;chr4:154550383:-	chr4:154535005:-;chr4:154536261:-;chr4:154536510:-
NCAPH2	7.24593420408877e-37	P04-PA02	chr22:50522525:+|chr22:50524777:+	148.594512344535	12.1899348786011	1.13743636518216e-35	TRUE	chr22:50508216:+;chr22:50520410:+;chr22:50522525:+	chr22:50523472:+;chr22:50524777:+
SNX5	7.69392004364495e-37	P11-PA02	chr20:17968756:-|chr20:17942219:-	38.2361977194065	6.18354248949633	1.20290886465501e-35	TRUE	chr20:17943622:-;chr20:17947621:-;chr20:17951537:-;chr20:17954024:-;chr20:17956946:-;chr20:17968458:-;chr20:17968511:-;chr20:17968756:-;chr20:17968980:-	chr20:17941600:-;chr20:17942219:-
EIF4E2	7.89086331086795e-37	P04-PA03	chr2:232566944:+|chr2:232583641:+	114.153079710145	10.684244461362	1.22876523476836e-35	TRUE	chr2:232550587:+;chr2:232550659:+;chr2:232550806:+;chr2:232566944:+	chr2:232569210:+;chr2:232583641:+;chr2:232581424:+
MLEC	1.96443409140826e-36	P06-PA02	chr12:120696403:+|chr12:120701859:+	91.7140019313632	9.57674276209626	3.04682944934356e-35	TRUE	chr12:120687149:+;chr12:120687245:+;chr12:120694167:+;chr12:120696403:+	chr12:120696645:+;chr12:120701859:+
SYT5	2.22304705445589e-36	P02-PA01	chr19:55174566:-|chr19:55171196:-	72.7893736740983	8.53166886805262	3.43425483452252e-35	TRUE	chr19:55174566:-;chr19:55175031:-;chr19:55175344:-;chr19:55179348:-;chr19:55180034:-;chr19:55180104:-;chr19:55180276:-	chr19:55171196:-;chr19:55173100:-
ANKRD10	3.28730053173852e-36	P01-PA01	chr13:110893082:-|chr13:110878540:-	56.8378964585693	7.53909122232709	5.0582849684024e-35	TRUE	chr13:110893082:-;chr13:110900739:-;chr13:110906095:-;chr13:110910746:-;chr13:110914617:-;chr13:110914803:-;chr13:110915006:-	chr13:110878540:-;chr13:110892710:-
KLC1	4.90485873010342e-36	P11-PA02	chr14:103699922:+|chr14:103701544:+	144.395460706473	12.0164662320698	7.51756497491836e-35	TRUE	chr14:103629177:+;chr14:103629297:+;chr14:103673355:+;chr14:103675552:+;chr14:103679398:+;chr14:103684777:+;chr14:103699922:+	chr14:103686225:+;chr14:103701544:+
KDM5A	5.81441883250604e-36	P02-PA01	chr12:307773:-|chr12:292954:-	109.102044025157	10.4451923881352	8.87667941762588e-35	TRUE	chr12:307773:-;chr12:323154:-;chr12:334328:-;chr12:389264:-	chr12:292954:-;chr12:309899:-
CACNA2D1	5.97879395892702e-36	P01-PA01	chr7:81964282:-|chr7:81946444:-	151.584795321637	12.3119777177201	9.09197065707144e-35	TRUE	chr7:81964282:-;chr7:82443715:-;chr7:82443777:-	chr7:81946444:-;chr7:82032810:-;chr7:82299729:-
DDX52	9.66399179578318e-36	P01-PA01	chr17:37621173:-|chr17:37613112:-	66.4311891184803	8.15053305732087	1.46388794011611e-34	TRUE	chr17:37621173:-;chr17:37626086:-;chr17:37643418:-	chr17:37613112:-;chr17:37613399:-;chr17:37613752:-;chr17:37619769:-;chr17:37614137:-
UBAP2L	1.26782932235558e-35	P12-PA02	chr1:154261628:+|chr1:154270847:+	83.2153061959603	9.12224238857751	1.91304633795747e-34	TRUE	chr1:154220172:+;chr1:154220849:+;chr1:154220943:+;chr1:154221304:+;chr1:154225082:+;chr1:154255247:+;chr1:154257071:+;chr1:154257345:+;chr1:154258631:+;chr1:154261628:+;chr1:154266452:+	chr1:154263504:+;chr1:154270847:+
GCSH	1.36079889839473e-35	P01-PA02	chr16:81090668:-|chr16:81082115:-	69.0491683953852	8.30958292547738	2.04540158743269e-34	TRUE	chr16:81090668:-;chr16:81096163:-;chr16:81096395:-	chr16:81082115:-;chr16:81082324:-
UPF3A	1.54333547925014e-35	P01-PA01	chr13:114281601:+|chr13:114287620:+	54.8952263675405	7.40913128291978	2.31084808489261e-34	TRUE	chr13:114281601:+;chr13:114281911:+;chr13:114282395:+;chr13:114286374:+	chr13:114287620:+;chr13:114287780:+;chr13:114305808:+
CBX5	2.14434213703424e-35	P04-PA05	chr12:54280122:-|chr12:54271854:-	29.8019856811277	5.45911949687197	3.19843829098632e-34	TRUE	chr12:54258427:-;chr12:54259545:-;chr12:54280122:-	chr12:54241623:-;chr12:54230946:-;chr12:54240077:-;chr12:54241001:-;chr12:54271854:-
RANBP1	3.63646662457157e-35	P03-PA01	chr22:20117424:+|chr22:20127183:+	102.295856453749	10.1141414096179	5.40334525551798e-34	TRUE	chr22:20117424:+;chr22:20117505:+;chr22:20117653:+;chr22:20117745:+;chr22:20117875:+;chr22:20117934:+	chr22:20127183:+;chr22:20127349:+
ATP2A2	6.81547966834118e-35	P11-PA03	chr12:110346201:+|chr12:110351089:+	54.1524467815831	7.3588346075709	1.00884647714267e-33	TRUE	chr12:110281247:+;chr12:110292049:+;chr12:110327687:+;chr12:110343256:+;chr12:110346201:+	chr12:110347323:+;chr12:110351089:+;chr12:110350975:+
OBSL1	1.80878810817169e-34	P05-PA02	chr2:219559431:-|chr2:219555763:-	39.7279202279202	6.30300882340492	2.66727731254257e-33	TRUE	chr2:219557027:-;chr2:219559431:-;chr2:219562512:-;chr2:219565379:-;chr2:219570739:-;chr2:219571241:-;chr2:219571464:-	chr2:219555763:-;chr2:219555149:-;chr2:219561722:-
SLMAP	1.91570036128959e-34	P19-PA04	chr3:57916965:+|chr3:57929168:+	31.4943215339233	5.61198017939509	2.81427226660391e-33	TRUE	chr3:57756230:+;chr3:57756282:+;chr3:57757013:+;chr3:57757236:+;chr3:57757447:+;chr3:57757554:+;chr3:57860760:+;chr3:57862000:+;chr3:57864557:+;chr3:57889991:+;chr3:57916965:+	chr3:57864617:+;chr3:57918480:+;chr3:57929123:+;chr3:57929168:+
ZHX1	2.57201701397869e-34	P01-PA01	chr8:123253442:-|chr8:123248743:-	112.774242424242	10.6195217606182	3.76423392308987e-33	TRUE	chr8:123253442:-;chr8:123274266:-;chr8:123274484:-	chr8:123248743:-;chr8:123252429:-;chr8:123255391:-
ZBTB8OS	3.34190267731559e-34	P05-PA02	chr1:32650903:-|chr1:32621830:-	96.695603719935	9.83339227936804	4.87266933437812e-33	TRUE	chr1:32634061:-;chr1:32650525:-;chr1:32650903:-	chr1:32620820:-;chr1:32621830:-
PARP1	4.06869783565743e-34	P02-PA01	chr1:226363160:-|chr1:226360691:-	33.992664079797	5.83032281094254	5.91023905754267e-33	TRUE	chr1:226363160:-;chr1:226407982:-;chr1:226408075:-;chr1:226408154:-	chr1:226360691:-;chr1:226360802:-;chr1:226361003:-
KNDC1	4.49774325828658e-34	P07-PA05	chr10:133207137:+|chr10:133225160:+	78.0737556561086	8.83593547147718	6.50918754814485e-33	TRUE	chr10:133160412:+;chr10:133207137:+;chr10:133211422:+	chr10:133170620:+;chr10:133180840:+;chr10:133186817:+;chr10:133225160:+
TFDP2	4.97773923249764e-34	P01-PA01	chr3:141963835:-|chr3:141951519:-	140.53381486656	11.8546958993708	7.17716253041235e-33	TRUE	chr3:141963835:-;chr3:141978688:-;chr3:141993585:-;chr3:142005469:-;chr3:142028597:-;chr3:142101757:-;chr3:142149470:-;chr3:142149521:-	chr3:141951519:-;chr3:141952488:-
BAZ1B	5.03568616967091e-34	P01-PA01	chr7:73466387:-|chr7:73440413:-	132.552680652681	11.5131525071407	7.23392112860843e-33	TRUE	chr7:73466387:-;chr7:73522278:-	chr7:73440413:-;chr7:73477047:-
PHTF1	5.42726848298676e-34	P01-PA01	chr1:113705981:-|chr1:113697209:-	55.4970641614177	7.44963516968568	7.7677780162748e-33	TRUE	chr1:113705981:-;chr1:113713328:-;chr1:113738268:-;chr1:113738786:-;chr1:113759155:-;chr1:113759437:-;chr1:113759540:-;chr1:113759888:-	chr1:113697209:-;chr1:113705765:-;chr1:113700025:-;chr1:113749229:-
DUT	5.60119998589198e-34	P05-PA03	chr15:48332197:+|chr15:48343369:+	71.1976941325436	8.43787260703453	7.98735221431409e-33	TRUE	chr15:48331011:+;chr15:48331095:+;chr15:48331405:+;chr15:48332103:+;chr15:48332197:+;chr15:48332406:+;chr15:48334445:+	chr15:48342420:+;chr15:48342562:+;chr15:48343369:+
PLCB1	8.35747155721735e-34	P24-PA03	chr20:8790196:+|chr20:8883408:+	115.83933747412	10.7628684593894	1.18743199898712e-32	TRUE	chr20:8600715:+;chr20:8628288:+;chr20:8649391:+;chr20:8658621:+;chr20:8737028:+;chr20:8790196:+	chr20:8765199:+;chr20:8788525:+;chr20:8883408:+
PRPF4B	9.3553508116357e-34	P01-PA01	chr6:4021267:+|chr6:4032333:+	71.7619475518063	8.47124238537691	1.32437748035265e-32	TRUE	chr6:4021267:+;chr6:4037419:+;chr6:4040848:+;chr6:4051982:+;chr6:4057160:+;chr6:4060982:+;chr6:4062104:+	chr6:4032333:+;chr6:4061903:+;chr6:4064983:+
WARS1	1.64620236366354e-33	P01-PA01	chr14:100342534:-|chr14:100333781:-	34.3486009884375	5.8607679521064	2.32198036295005e-32	TRUE	chr14:100342534:-;chr14:100346829:-;chr14:100354423:-;chr14:100361923:-;chr14:100369185:-;chr14:100375333:-;chr14:100375467:-;chr14:100375547:-;chr14:100376251:-	chr14:100333781:-;chr14:100334477:-
PCNT	2.63242378055959e-33	P15-PA03	chr21:46440994:+|chr21:46445767:+	68.9760302775442	8.30518092985	3.69964829520522e-32	TRUE	chr21:46324124:+;chr21:46324667:+;chr21:46425833:+;chr21:46440994:+	chr21:46357126:+;chr21:46381735:+;chr21:46445767:+
GPBP1	7.41941259974205e-33	P05-PA02	chr5:57214074:+|chr5:57263085:+	14.0166302139531	3.74387903302886	1.0389846493092e-31	TRUE	chr5:57173948:+;chr5:57174049:+;chr5:57175448:+;chr5:57175946:+;chr5:57214074:+;chr5:57231303:+;chr5:57245468:+	chr5:57176333:+;chr5:57263085:+;chr5:57263582:+
TXLNG	1.6447642452341e-32	P02-PA04	chrX:16839837:+|chrX:16844519:+	105.065100624566	10.2501268589499	2.29500616727468e-31	TRUE	chrX:16786432:+;chrX:16839837:+	chrX:16837684:+;chrX:16839850:+;chrX:16843225:+;chrX:16844519:+
FAM135A	1.9792598779469e-32	P09-PA04	chr6:70556698:+|chr6:70561171:+	126.684931506849	11.2554400849922	2.75187810887404e-31	TRUE	chr6:70413508:+;chr6:70556698:+	chr6:70524527:+;chr6:70524582:+;chr6:70561171:+
SPATS2	3.10385090162677e-32	P02-PA01	chr12:49366856:+|chr12:49490730:+	48.2629022093706	6.94715065399985	4.30010375801886e-31	TRUE	chr12:49366856:+;chr12:49367384:+;chr12:49367462:+;chr12:49460879:+;chr12:49522749:+	chr12:49490730:+;chr12:49526364:+;chr12:49527413:+;chr12:49527069:+
SYN3	4.80935104922671e-32	P04-PA02	chr22:32541716:-|chr22:32513215:-	37.5	6.12372435695795	6.63929206902113e-31	TRUE	chr22:32541716:-;chr22:33052544:-;chr22:33057588:-;chr22:33058381:-	chr22:32513215:-;chr22:32814674:-;chr22:32821462:-
UBE2D3	5.93977081214554e-32	P15-PA04	chr4:102828010:-|chr4:102796590:-	26.3006914173698	5.12841997279569	8.17085786985251e-31	TRUE	chr4:102825540:-;chr4:102825780:-;chr4:102826867:-;chr4:102827010:-;chr4:102827122:-;chr4:102827183:-;chr4:102827500:-;chr4:102827835:-;chr4:102827948:-;chr4:102828010:-;chr4:102828159:-;chr4:102868861:-	chr4:102795976:-;chr4:102796590:-;chr4:102796133:-;chr4:102794383:-
RUFY3	6.13322508086809e-32	P09-PA03	chr4:70788939:+|chr4:70793557:+	21.0401545799378	4.58695482645489	8.40726945064066e-31	TRUE	chr4:70704204:+;chr4:70704801:+;chr4:70721964:+;chr4:70784866:+;chr4:70788939:+	chr4:70791547:+;chr4:70791930:+;chr4:70793557:+
SETX	7.25836636599228e-32	P01-PA01	chr9:132275382:-|chr9:132261440:-	41.0929936305733	6.41038170708837	9.91467377642384e-31	TRUE	chr9:132275382:-;chr9:132278109:-;chr9:132286497:-;chr9:132354986:-	chr9:132261440:-;chr9:132263893:-;chr9:132295897:-;chr9:132329003:-;chr9:132329267:-;chr9:132329500:-
